공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
1회섭취참고량명,만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조사 결과 등을 바탕으로 설정한 값의 이름,RAFOS_NM,명V100,,100자리 이내 문자,,,,"1회섭취참고량이름, 1회섭취참고량명칭",5차(2022-07),,,
1회투여량,약물이나 주사제 등이 한번에 몸에 투여되는 양,SGLDS,"수N15,4",,99999999999.9999,99999999999.9999,,,,8차(2025-11),,,
API명,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스의 이름",API_NM,명V300,,300자리 이내 문자,,,,,6차(2023-11),,,
API사용여부,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스를 사용하였는지 여부",API_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
API설명,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스에 대한 설명",API_EXPLN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
CAS번호,화학적 동질성을 갖는 물질에 대하여 미국 화학회(化學會)에서 부여하는 식별 번호,CAS_NO,번호V20,,20자리 이내 문자,,,,,6차(2023-11),,,
CCTV고유번호,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템을 구분하려고 부여하는 식별 번호,CCTV_UNQ_NO,번호V50,,50자리 이내 문자,,,,,8차(2025-11),,,
CCTV명,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템의 이름,CCTV_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
CI번호,"여러 온라인 서비스에서 동일인을 확인할 수 있는 연계 정보로, 본인인증을 거친 뒤 사업자 간 사용자를 식별할 수 있도록 암호화하여 부여하는 식별 번호",CI_NO,번호V88,,88자리 이내 문자,,,,,8차(2025-11),,,
CMS계좌번호,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나, 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스의 계좌번호",CMS_ACTNO,계좌번호V20,,20자리 이내 문자,,,,,7차(2024-11),,,
CMS사용여부,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스를 사용하는지 여부",CMS_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
CPU명,컴퓨터의 중앙처리장치(CPU)의 이름,CPU_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
CPU사용률,컴퓨터의 중앙처리장치(CPU)를 점유하여 사용하는 비율,CPU_USGRT,"율N5,2",,999.99,999.99,,,,6차(2023-11),,,
CPU속도,컴퓨터 시스템 전체의 작동을 통제하고 프로그램의 모든 연산을 수행하는 가장 핵심적인 장치가 연산을 처리하는 빠르기,CPU_SPD,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
DI번호,"중복가입 확인 정보로, 하나의 서비스 내에서 동일 사용자의 중복 가입을 막고, 계정 구분을 위해 부여하는 식별 번호",DI_NO,번호V64,,64자리 이내 문자,,,,,8차(2025-11),,,
EAI전송여부,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보냈는지 여부,EAI_TRSM_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
EAI전송일시,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보낸 날짜와 시각,EAI_TRSM_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
EAI전송일자,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보낸 날짜,EAI_TRSM_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
EAI처리일시,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 정리하거나 마무리 지은 날짜와 시각,EAI_PRCS_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
EAI처리일자,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 정리하거나 마무리 지은 날짜,EAI_PRCS_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
ERP연계여부,기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어와 서로 이어져 관계를 맺었는지 여부,ERP_LINK_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
ERP전송여부,기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어에 통신회선을 이용하여 보냈는지 여부,ERP_TRSM_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
ERP전송일시,기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어에 통신회선을 이용하여 보낸 날짜와 시각,ERP_TRSM_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
ESB연계일시,여러 이기종 시스템을 효율적으로 연계하는 미들웨어 플랫폼과 서로 이어져 관계를 맺은 날짜와 시각,ESB_LINK_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
FAQ내용,많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서의 내용,FAQ_CN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
FAQ일련번호,많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서에 일정한 방식으로 연속되게 매긴 번호,FAQ_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,6차(2023-11),,,
FAQ제목,많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서의 제목,FAQ_TTL,명V256,,256자리 이내 문자,,,,,6차(2023-11),,,
G2B계약번호,정부와 기업 간의 거래를 종류에 따라서 가름하는 것을 이용하여 관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무를 글이나 말로 정하는 것에 부여하는 식별 번호,G2B_CTRT_NO,번호V20,,20자리 이내 문자,,,,,7차(2024-11),,,
G2B분류번호,조달 물품을 종류에 따라 분류하기 위하여 부여하는 식별 번호,G2B_CLSF_NO,번호V20,,20자리 이내 문자,,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
G2B식별번호,조달 물품을 개별적으로 분별하여 알아보려고 부여하는 식별 번호,G2B_IDNTF_NO,번호V20,,20자리 이내 문자,,,,,8차(2025-11),,,
GIS자료여부,지도에 관한 속성 정보를 해석하는 지도 정보 시스템의 데이터인지 여부,GIS_DATA_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,GIS데이터여부,4차(2021-12),,,
HTML내용,하이퍼링크를 사용하는 컴퓨터 언어의 내용,HTML_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
HTML사용여부,하이퍼링크를 사용하는 컴퓨터 언어를 사용할지 여부,HTML_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,1차(2020-08),,,
HTML여부,하이퍼링크를 사용하는 컴퓨터 언어인지 여부,HTML_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,5차(2022-07),,,
IMO번호,국제해사기구가 선박을 구분하여 알아보려고 부여하는 식별 번호,IMO_NO,번호V10,,10자리 이내 문자,,,,,8차(2025-11),,,
IP주소,"OSI 모델의 제3계층(네트워크층)에 해당되는 프로토콜로 IP계층에 따라 다른 네트워크 간 패킷의 전송, 즉 경로 제어를 위한 규약에 따른 주소",IP_ADDR,주소V15,,15자리 이내 문자,999.999.999.999,,,아이피주소,2차(2020-12),,,
MAC주소,대부분의 네트워크 인터페이스 어댑터(NIC)에 부여된 고유한 식별자,MAC_ADDR,주소V17,,17자리 이내 문자,ff : ff : ff : ff : ff : ff,,,,2차(2020-12),,,
MMS제목,"3세대 이동통신 서비스의 기본 요소로서 정지 영상, 음악, 음성 및 동영상 등의 다양한 형식의 데이터를 주고받는 메시지를 대표하여 붙이는 이름",MMS_TTL,명V256,,256자리 이내 문자,,,,,7차(2024-11),,,
OTP사용여부,사용자 인증을 위하여 로그인을 할 때마다 매번 새로 생성되는 비밀번호를 사용했는지 여부,OTP_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
PDF파일경로명,원본 문서가 어떠한 애플리케이션에서 작성되었는지에 상관없이 여러 플랫폼 환경에서 문서를 동일하게 출력하고 디스플레이할 수 있도록 해 주는 파일이 위치한 경로의 이름,PDF_FILE_PATH_NM,명V300,,300자리 이내 문자,,,,,7차(2024-11),,,
PDF파일명,원본 문서가 어떤 애플리케이션에서 작성되었는지에 상관없이 여러 플랫폼 환경에서 문서를 동일하게 출력하고 디스플레이 할 수 있도록 해주는 포맷으로 작성된 파일의 이름 ,PDF_FILE_NM,명V300,,300자리 이내 문자,,,,,6차(2023-11),,,
PG거래번호,인터넷상에서 금융 기관과 하는 결제를 대행해 주는 회사가 각각의 결제 건에 부여하는 식별 번호,PG_DLNG_NO,번호V20,,20자리 이내 문자,,,,,6차(2023-11),,,
POS번호,"상점의 전자식 금전 등록기, 정찰 판독 장치 등을 컴퓨터에 연결하여 상품이나 서비스 데이터를 관리하는 시스템에 부여하는 식별 번호",POS_NO,번호V20,,20자리 이내 문자,,,,,7차(2024-11),,,
PQ대상여부,입찰 전 사업수행능력 사전심사를 거쳐 일정 수준 이상의 역량과 신뢰도를 갖춘 업체만 공사나 용역 입찰에 참가할 수 있도록 제한하는 제도의 적용 대상인지 여부,PQ_TRGT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
PQ심사여부,"입찰에 참여하려는 업체에 대하여 사업 수행 능력, 재무 건전성, 기술 역량, 신뢰도 등을 종합적으로 평가하는 사전심사 제도를 통해 심사를 하였는지 여부",PQ_SRNG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
QR코드이미지명,"컴퓨터로 만든 흑백 격자무늬 코드로, 정보를 나타내는 복합 부호 형식의 이차원 코드의 이름",QRCD_IMG_NM,명V256,,256자리 이내 문자,,,,,7차(2024-11),,,
RFID번호,전파 신호를 통해 비접촉식으로 사물에 부착된 얇은 평면 형태의 태그를 식별하여 정보를 처리하는 시스템에 부여하는 식별 번호,RFID_NO,번호V50,,50자리 이내 문자,,,,,7차(2024-11),,,
RSS사용여부,웹 사이트 간의 자료 교환 및 배급을 위한 확장성 링크 언어(XML) 기반의 규격을 사용했는지 여부,RSS_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
SMS내용,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자 메시지에서 전하고자 하는 내용",SMS_CN,내용V2000,,2000자리 이내 문자,,,,,2차(2020-12),,,
SMS발송여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 발송했는지 여부",SMS_SNDNG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,1차(2020-08),,,
SMS사용여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 문자 메시지를 목적에 맞게 주고받을 수 있는지 여부",SMS_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,4차(2021-12),,,
SMS수신동의여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자의 수신을 허락하는지 여부",SMS_RCPTN_AGRE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,1차(2020-08),,,
SMS수신여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 수신했는지 여부",SMS_RCPTN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,1차(2020-08),,,
SMS수신일자,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 받은 날짜",SMS_RCPTN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
SMS수신자명,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고받을 수 있는 문자 서비스를 받는 사람의 이름",SMS_RCVR_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
SMS수신전화번호,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 수신하는 전화번호",SMS_RCPTN_TELNO,전화번호V11,,11자리 이내 문자,(9)99-(9)999-9999 or 999-(9)999-9999 or 9999-9999 or 999-(9)999-9999,,,,6차(2023-11),,,
SMS신청여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자의 수신을 알려 청하였는지 여부",SMS_APLY_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,SMS여부,6차(2023-11),,,
SMS유형명,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자의 성질이나 특징 따위가 공통적인 것끼리 묶은 틀에 붙인 이름",SMS_TYPE_NM,명V300,,300자리 이내 문자,,,,,8차(2025-11),,,
SMS인증번호,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통해 본인임을 확인하기 위하여 부여하는 식별 번호",SMS_CERT_NO,번호V20,,20자리 이내 문자,,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
SMS인증여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자로 어떠한 문서나 행위가 정당한 절차로 이루어졌다는 것을 공적 기관이 증명했는지 여부",SMS_CERT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
SMS전송건수,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 전송한 건수",SMS_TRSM_NOCS,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
SMS전송내용,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 내용",SMS_TRSM_CN,내용V4000,,4000자리 이내 문자,,,,SMS발송내용,6차(2023-11),,,
SMS전송대상여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 단문 메시지를 주고받을 수 있는 문자를 전송하는 대상인지 여부",SMS_TRSM_TRGT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
SMS전송시각,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 어느 한 시점",SMS_TRSM_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,7차(2024-11),,,
SMS전송여부,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보냈는지 여부",SMS_TRSM_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
SMS전송일련번호,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이도 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 것에 일정한 방식으로 연속되게 매긴 번호",SMS_TRSM_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,6차(2023-11),,,
SMS전송일시,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 날짜와 시각",SMS_TRSM_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,SMS발송일시,6차(2023-11),,,
SMS전송일자,"컴퓨터, 휴대전화 이용자들이 별도의 부가 장비 없이 단문 메시지를 주고받을 수 있는 문자를 통신 회선을 이용하여 보낸 날짜",SMS_TRSM_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,SMS발송일자,6차(2023-11),,,
SMS전송전화번호,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고받을 수 있는 문자 서비스를 보낸 전화번호",SMS_TRSM_TELNO,전화번호V11,,11자리 이내 문자,(9)99-(9)999-9999 or 999-(9)999-9999 or 9999-9999 or 999-(9)999-9999,,,,7차(2024-11),,,
SMS제목,"컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고받는 문자를 대표하여 붙이는 이름",SMS_TTL,명V256,,256자리 이내 문자,,,,,7차(2024-11),,,
SNS내용,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스의 내용,SNS_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
SNS등록일자,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스에 등록한 날짜,SNS_REG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
SNS사용여부,동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스를 사용했는지 여부,SNS_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
SQL내용,관계형 데이터베이스 관리 시스템(RDBMS)의 조작과 관리를 위해 작성한 표준 질의 언어의 내용,SQL_CN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
SSL사용여부,인터넷상에서 데이터 통신 보안을 제공하는 암호 프로토콜을 사용했는지 여부,SSL_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
SSO사용여부,한 번 인증으로 여러 시스템을 이용 가능하도록 하는 통합 로그인 기술을 사용하는지 여부,SSO_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
TV수신료,텔레비전 방송 따위의 신호를 받는 대가로 치르는 요금,TVSFE,요금N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
URL주소,확인된 리소스가 어디에 있는지 또 이를 탐색하는 메커니즘이 어디에 있는지를 규정하는 URL로 정의된 주소,URL_ADDR,주소V2000,,2000자리 이내 문자,,,,,2차(2020-12),,,
VOC내용,"콜센터에 접수된 제품이나 서비스에 대한 고객의 의견, 요구사항, 불만 사항의 내용",VOC_CN,내용V2000,,2000자리 이내 문자,,,,,6차(2023-11),,,
VOC접수번호,"콜센터에 접수된 제품이나 서비스에 대한 고객의 의견, 요구사항, 불만 사항을 구두나 문서로 받은 것에 부여하는 식별 번호",VOC_RCPT_NO,번호V50,,50자리 이내 문자,,,,,7차(2024-11),,,
VOC제목,"콜센터에 접수된 제품이나 서비스에 대한 고객의 의견, 요구사항, 불만 사항을 구두나 문서로 받은 것에 대표하여 붙이는 이름",VOC_TTL,명V256,,256자리 이내 문자,,,,,7차(2024-11),,,
WBS명,프로젝트 과업과 하위 과업 그리고 작업 단위의 계층을 나타내는 구조의 이름,WBS_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
XML파일명,데이터를 저장하고 전달하는 데 사용되는 다목적 마크업 언어 파일의 이름,XML_FILE_NM,명V300,,300자리 이내 문자,,,,,8차(2025-11),,,
X좌표,"직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 X축에 내린 수선의 눈금인 X, 즉 그 점의 가로좌표",XCRD,"좌표N13,10",,999.9999999999,999.9999999999,,,,6차(2023-11),,,
Y좌표,"직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 Y축에 내린 수선의 눈금인 Y, 즉 그 점의 세로좌표",YCRD,"좌표N13,10",,999.9999999999,999.9999999999,,,,6차(2023-11),,,
Z좌표,3차원의 데카르트 좌표계에서 가로축(X축)과 세로축(Y축)에 대하여 직각이 되는 제3의 축(Z축),ZCRD,"좌표N13,10",,999.9999999999,999.9999999999,,,,7차(2024-11),,,
가감금액,더하거나 뺀 돈의 액수,ADSB_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
가감점수,더하거나 뺀 점수,ADSB_SCR,수N7,,9999999,9999999,,,,6차(2023-11),,,
가결여부,"회의에서, 제출된 의안을 합당하다고 결정했는지 여부",PSD_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
가계수표금액,은행에 가계 종합 예금 계좌를 가진 사람이 그 은행 앞으로 발행하는 소액 수표에 기재된 돈의 액수,PSCK_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
가구수,일정한 범위 또는 단위 내에 거주하는 가구의 전체 수,HSHD_CNT,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
가능여부,할 수 있는지 여부,PSBLTY_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,5차(2022-07),,,
가동개시일자,사람이나 기계 등이 움직이거나 행동을 시작한 날짜,OPRTNG_STRT_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,4차(2021-12),,,
가동률,생산 설비가 가동될 수 있는 최대 시간과 실지로 가동한 시간의 비율,OPRT,"율N5,2",,999.99,999.99,,,,7차(2024-11),,,
가동시간,사람이나 기계 등이 움직이거나 작동하는 데 걸리는 일정한 시간,OPRTNG_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,6차(2023-11),,,
가동여부,사람이나 기계 등이 움직이거나 작동을 시작했는지 여부,OPRTNG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
가동일수,사람이나 기계 등이 움직이거나 작동한 날의 수,OPRTNG_DAY_CNT,수N7,,9999999,9999999,,,,7차(2024-11),,,
가동일자,사람이나 기계 등이 움직이거나 작동한 날짜,OPRTNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
가동종료일자,사람이나 기계 등이 움직이거나 행동을 끝마친 날짜,OPRTNG_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
가로길이,어떤 대상의 왼쪽 끝에서 오른쪽 끝까지의 거리,WDTH_LEN,수N7,,9999999,9999999,,,,6차(2023-11),,,
가맹점대표자명,어떤 조직의 동맹이나 연맹에 든 상점 전체를 대표하는 사람의 이름,FRCS_RPRSV_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),,,
가맹점명,어떤 조직의 동맹이나 연맹에 든 가게나 상점에 붙인 이름,FRCS_NM,명V200,,200자리 이내 문자,,,,"가맹점이름, 가맹점명칭",5차(2022-07),,,
가맹점번호,어떤 조직의 동맹이나 연맹에 든 가게나 상점에 부여하는 식별 번호,FRCS_NO,번호V20,,20자리 이내 문자,,,,,5차(2022-07),,,
가맹점사업자등록번호,어떤 조직의 동맹이나 연맹에 든 상점을 구별하여 관리하려고 사업자등록을 할 때 국세청에서 매기는 번호,FRCS_BRNO,사업자등록번호C10,,10자리 문자,999-99-99999,,,,6차(2023-11),,,
가맹점상세주소,"어떤 조직의 동맹이나 연맹에 든 상점의 동(棟) 번호, 호(號)수 또는 층수가 나타난 주소",FRCS_DADDR,상세주소V200,,200자리 이내 문자,,,,,6차(2023-11),,,
가맹점수,어떤 조직의 동맹이나 연맹에 든 가게나 상점의 수,FRCS_CNT,수N7,,9999999,9999999,,,,8차(2025-11),,,
가맹점수수료,"어떤 조직의 동맹이나 연맹에 든 가게나 상점에서 고객이 신용카드, 체크카드 등의 결제 수단으로 결제할 때 가맹점이 카드사 또는 결제 시스템 제공자에게 지급하는 요금",FRCS_FEE,요금N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
가맹점수수료율,"어떤 조직의 동맹이나 연맹에 든 가게나 상점에서 고객이 신용카드, 체크카드 등의 결제 수단으로 결제할 때 가맹점이 카드사 또는 결제 시스템 제공자에게 지급하는 요금을 백분율로 산정한 것",FRCS_CMRT,"율N5,2",,999.99,999.99,,,,8차(2025-11),,,
가맹점업종명,어떤 조직의 동맹이나 연맹에 든 가게나 상점의 영업 종류 이름,FRCS_TPBIZ_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
가맹점우편번호,어떤 조직의 동맹이나 연맹에 든 상점의 소재지 우편번호,FRCS_ZIP,우편번호C5,,5자리 문자,99999,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
가맹점전화번호,어떤 조직의 동맹이나 연맹에 든 상점의 전화번호,FRCS_TELNO,전화번호V11,,11자리 이내 문자,(9)99-(9)999-9999 or 999-(9)999-9999 or 9999-9999 or 999-(9)999-9999,,,,6차(2023-11),,,
가맹점주소,어떤 조직의 동맹이나 연맹에 든 상점의 주소,FRCS_ADDR,주소V200,,200자리 이내 문자,,,,,6차(2023-11),,,
