공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
체납자우편번호,세금 따위를 기한까지 내지 못하고 밀린 사람의 소재지 우편번호,DFLTR_ZIP,우편번호C5,,5자리 문자,99999,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
체납자주소,세금 따위를 기한까지 내지 못하고 밀린 사람의 주소,DFLTR_ADDR,주소V200,,200자리 이내 문자,,,,,7차(2024-11),,,
체납종료연월,세금이나 공과금 등을 미리 정해 놓은 시기까지 내지 못하여 밀리는 것을 끝마친 연도와 월,NPMNT_END_YM,연월C6,"YYYY : 0001~9999, MM : 01~12",YYYYMM,YYYY-MM,,,,7차(2024-11),,,
체납종료일자,세금이나 공과금 등을 미리 정해 놓은 시기까지 내지 못하여 밀리는 것을 끝마친 날짜,NPMNT_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
체납처분비,"체납 처분에서 재산의 압류, 보관, 운반, 공매 등의 절차와 그 과정에서 발생하는 비용 및 통신비",NPMNT_DSPCO,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
체류시각,어떤 곳에 가서 머문 어느 한 시점,STAY_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
체류시간,어떤 곳에 가서 머무르는 데에 걸리는 일정한 시간,STAY_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
체류시작일자,어떤 곳에 가서 머물기 시작한 날짜,STAY_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
체류일시,어떤 곳에 가서 머문 날짜와 시각,STAY_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
체류일자,어떤 곳에 가서 머문 날짜,STAY_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
체류자격내용,어떤 곳에 가서 머무르는 데에 필요한 조건이나 능력의 내용,STAY_QLFC_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
체류종료일자,어떤 곳에 가서 머무는 것을 끝마친 날짜,STAY_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
체불금,마땅히 지급하여야 할 것을 지급하지 못하고 미룬 돈의 액수,OVPY,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
체온,사람이나 동물의 몸에서 나타나는 열의 정도,BDHT,"수N4,2",,99.99,99.99,,,,8차(2025-11),,,
체중,사람이나 동물의 몸의 무게,BDWG,"수N8,3",,99999.999,99999.999,,,몸무게,8차(2025-11),,,
체크카드여부,가계 수표를 발행할 수 있는 사람에게 은행이 교부하는 지급 보증 카드인지 여부,CKCRD_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
체포장소명,"형법에서, 사람의 신체에 대하여 직접적이고 현실적인 구속을 가하여 행동의 자유를 빼앗는 일이 일어나는 곳의 이름",ARST_PLC_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
체험명,자기가 몸소 겪거나 그런 경험의 이름,EXPRN_NM,명V200,,200자리 이내 문자,,,,,7차(2024-11),,,
초과근무수당,정하여진 근무 시간 외에 하는 근무에 대해 정해진 봉급 이외에 따로 주는 돈의 액수,EXCS_WORK_ALW,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
초과근무시간,정하여진 근무 시간 외에 하는 근무에 소요된 일정한 시간,EXCS_WORK_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,7차(2024-11),,,
초과금액,일정한 기준이나 한도를 넘은 돈의 액수,EXCS_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
초과사례금,정해진 기준이나 한도를 넘은 수고에 대한 사례의 뜻으로 주는 돈의 액수,EXCS_HNRR,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
초과사유,일정한 수나 한도 따위를 넘은 이유,EXCS_RSN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
초과수량,일정한 수나 한도를 넘은 수량과 분량,EXCS_QTY,"수N10,3",,9999999.999,9999999.999,,,,8차(2025-11),,,
초과시간,일정한 수나 한도 따위를 넘어선 일정한 시간,EXCS_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,7차(2024-11),,,
초과여부,일정한 수나 한도 따위를 넘었는지 여부,EXCS_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
초과일수,일정한 수나 한도 따위를 넘은 날의 수,EXCS_DAY_CNT,수N7,,9999999,9999999,,,,7차(2024-11),,,
초기화여부,"컴퓨터 프로그램의 최초 또는 미리 정해진 계수, 스위치, 주소, 기억 장치의 내용 등을 ‘0’ 또는 기타의 값으로 설정했는지 여부",INIT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
초등학교명,아동들에게 기본적인 교육을 실시하기 위한 학교의 이름,ELSCHL_NM,명V200,,200자리 이내 문자,,,,,7차(2024-11),,,
초록내용,"필요한 부분만을 뽑아서 적거나, 그런 기록의 내용",ABST_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
초록명,필요한 부분만을 뽑아서 적은 것의 이름,ABST_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
초록유무,"필요한 부분만을 뽑아서 적거나, 그런 기록의 유무",ABST_EN,유무C1,"Y : 유(있음),  N : 무(없음)",1자리 문자,Y or N,,,,7차(2024-11),,,
초미세먼지농도,"공기 중에 있는 지름 25마이크로미터(㎛) 이하의, 눈으로 분간하기 어려울 정도로 아주 작은 먼지의 정도",FPM_DNST,"수N8,3",,99999.999,99999.999,,기후에너지환경부,,7차(2024-11),변경,소관기관명,소관기관명 변경
초중고교육비,초중고에 다니는 학생의 교육에 드는 비용,EMHSCH_EDUCO,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
초진횟수,처음으로 진찰을 한 횟수,FMEXM_NMTM,수N7,,9999999,9999999,,,,7차(2024-11),,,
총가구수,현실적으로 주거 및 생계를 같이하는 사람의 집단의 전체수,THSHD_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
총거래건수,주고받거나 사고판 전체 건수,TDLNG_NOCS,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
총거래금액,주고받거나 사고판 전체를 합하여 계산한 돈의 액수,TDLNG_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총거래수량,주고받거나 사고판 것을 전체 합하여 계산한 수효와 분량,TDLNG_QTY,"수N10,3",,9999999.999,9999999.999,,,,8차(2025-11),,,
총건수,전체 사물이나 사건의 건수,TNOCS,수N14,,99999999999999,99999999999999,,,,5차(2022-07),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
총결정세액,산출 세액에서 세액 공제액과 감면 세액을 공제한 세금의 전체를 합하여 계산한 돈의 액수,TDXAMT,금액N18,,999999999999999999,"999,999,999,999,999,999",,,,8차(2025-11),,,
총결제금액,증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 전체 돈의 액수,TSTLM_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총계약금액,관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무에 대하여 글이나 말로 정하여 둔 전체 돈의 액수,TCTRT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총고지금액,게시나 글로 알리게 되는 금액의 전체를 합하여 계산한 돈의 액수,TINFRM_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총공급가액,재화나 용역 따위를 제공하고 받는 것 전체를 합한 금액,TSPLY_EQVL,금액N18,,999999999999999999,"999,999,999,999,999,999",,,,6차(2023-11),,,
총공사금액,토목이나 건축 따위의 일 전체를 합한 것에 들어간 돈의 액수,TCSTRN_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,5차(2022-07),,,
총공사비,공사에 드는 모든 비용의 합계,TCNSCO,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총공제금액,받을 몫에서 일정한 돈을 뺀 금액을 전체 합하여 계산한 돈의 액수,TDDC_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총괄계약일자,모든 일을 한데 묶어서 관련되는 사람이나 단체 사이에서 서로 지켜야 할 의무를 글이나 말로 정하여 둔 날짜,OVRL_CTRT_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
총괄납부승인번호,모든 것을 한데 묶어 관할하여 세금이나 공과금 따위를 관계 기관에 낸 것에 대해 승낙하거나 동의하는 것에 부여하는 식별 번호,OVRL_PAY_APRV_NO,번호V50,,50자리 이내 문자,,,,,7차(2024-11),,,
총괄책임자명,모든 것을 한데 묶어 관할하는 책임을 맡은 사람의 이름,OVRL_RBPRSN_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
